pitch_type,batted_ball_type,hit_x,hit_y,exit_velocity,launch_angle,outcome
SL,ground_ball,29.200000000000003,37.58000000000001,65.1,-6,field_out
SI,ground_ball,26.41000000000001,66.5,109.5,5,field_out
SL,fly_ball,1.7999999999999972,114.79,101,48,field_out
FC,ground_ball,-16.900000000000006,47.69,76.8,-16,single
FF,ground_ball,26.33999999999999,64.05000000000001,101.5,0,field_error
CH,ground_ball,64.82000000000001,83.94000000000001,93,-4,single
SL,ground_ball,2.6199999999999903,46.52000000000001,77.1,-5,field_out
SI,ground_ball,4.989999999999995,58.420000000000016,94.2,-10,field_out
FF,line_drive,-71.87,131.14000000000001,104.7,22,double
CU,fly_ball,-19.379999999999995,117.73,89.8,43,field_out
SI,popup,-18.570000000000007,42.10000000000002,75.2,68,field_out
CH,line_drive,51.709999999999994,139.09,97.1,24,double
SI,fly_ball,35.55999999999999,168.92000000000002,107.6,33,home_run
CH,ground_ball,44.17999999999999,42.32000000000002,80.9,-13,single
CU,fly_ball,-42.96000000000001,131.39000000000001,104.9,43,field_out
FF,fly_ball,-88.1,90.62,95.6,43,field_out
FF,fly_ball,-70.38,121.65,98.7,33,field_out
SL,fly_ball,-4.980000000000004,172.09,110.3,34,home_run
SL,fly_ball,-68.97,126.05000000000001,102.1,30,field_out
CU,ground_ball,7.219999999999985,84.52000000000001,98.2,1,double
SL,popup,-7.5,43.99000000000001,83.6,66,field_out
SI,ground_ball,17.91000000000001,23.97,101.9,-15,field_error
FC,ground_ball,26.489999999999995,57.33000000000001,104,5,field_out
CH,ground_ball,28.489999999999995,31.01000000000002,95.7,2,field_out
SL,fly_ball,-37.46000000000001,68.13000000000002,80.4,55,field_out
SI,line_drive,7.1000000000000085,137.05,115,13,field_out
CH,popup,-41.31,57.610000000000014,74.3,57,field_out
CH,fly_ball,81.11999999999999,122.81000000000002,97,34,home_run
FC,ground_ball,18.83999999999999,33.41,82,0,field_out
CH,ground_ball,-5.700000000000003,50.35000000000002,71.5,-21,field_out
CH,fly_ball,-44.879999999999995,101.95000000000002,81.4,43,field_out
SI,ground_ball,25.450000000000003,60.45000000000002,NA,NA,field_out
SI,line_drive,-76.03,132.34,105,22,double
CH,popup,-38.39,24.180000000000007,60.6,61,field_out
SL,fly_ball,48.69000000000001,99.30000000000001,104.1,53,field_out
SI,ground_ball,-15.079999999999998,46.16,81.6,-16,field_out
CH,fly_ball,25.690000000000012,82.70000000000002,91.2,59,field_out
FF,line_drive,70.82000000000001,74.28000000000002,113.8,11,double
FF,popup,-11.710000000000008,11.780000000000001,27.5,47,single
KC,fly_ball,-8.150000000000006,135.83,91,32,field_out
KC,ground_ball,-8.180000000000007,37.70000000000002,101.2,-5,field_out
FF,fly_ball,29.42,175.21,107.1,27,home_run
SL,ground_ball,26.510000000000005,29.370000000000005,88.9,-1,fielders_choice
SI,ground_ball,2.3400000000000034,79.63000000000001,100.4,8,field_out
SI,fly_ball,-5.230000000000004,150.10000000000002,108.3,33,home_run
SI,ground_ball,43.989999999999995,41.80000000000001,106.8,-19,field_out
CH,ground_ball,38.290000000000006,32.34,81.1,-21,field_out
FF,line_drive,64.85000000000001,64.80000000000001,101.9,8,double
FF,line_drive,0.28999999999999204,97.68,72.9,17,single
FF,ground_ball,26.08999999999999,24.930000000000007,NA,NA,field_out
FF,fly_ball,1.2099999999999937,121.78000000000002,92.5,43,field_out
SI,ground_ball,-0.5300000000000011,45.98000000000002,46.1,25,force_out
SL,fly_ball,48.82000000000001,154.69,107.2,38,home_run
CH,fly_ball,14.510000000000005,160.79000000000002,102.7,34,field_out
FC,ground_ball,25.260000000000005,24.189999999999998,101.3,-12,grounded_into_double_play
SL,ground_ball,5.739999999999995,46.380000000000024,60.6,-48,field_out
CH,line_drive,-9.420000000000002,105.28000000000002,78.6,20,single
SL,fly_ball,-11.829999999999998,77.31000000000002,87.1,58,field_out
FF,fly_ball,-42.34,95.68,85.1,39,field_out
SL,fly_ball,37.42,169.78,108.9,29,home_run
SL,fly_ball,-73.35,96.41000000000001,97.4,39,field_out
FF,ground_ball,39.14999999999999,94.94000000000001,111.3,5,single
CU,ground_ball,-7.930000000000007,50.84,90.9,-9,single
SL,line_drive,38.959999999999994,76.56000000000002,107.9,10,field_out
SI,ground_ball,-4.920000000000002,55.860000000000014,92.8,-6,field_error
SI,ground_ball,9.529999999999987,42,93.2,-39,grounded_into_double_play
SL,fly_ball,-55.34,87.54,83.8,28,double
FF,line_drive,92.14999999999999,109.97000000000001,119,18,double
SL,line_drive,-50.900000000000006,94.67000000000002,106.5,7,single
SI,ground_ball,18.36999999999999,54.47,96,-12,field_out
CU,fly_ball,77.74,81.30000000000001,82.1,33,triple
SI,fly_ball,-27.85000000000001,167.76000000000002,108.2,30,home_run
CH,fly_ball,35.989999999999995,144.62,98.3,30,double
FF,line_drive,-20.17,127.92000000000002,108.8,14,field_out
FF,fly_ball,-53.25,96.98,89.5,47,field_out
CH,line_drive,46.32000000000001,46.24000000000001,101.9,11,field_out
SL,line_drive,31.739999999999995,106.13000000000001,113.8,14,single
FS,ground_ball,27.790000000000006,23.27000000000001,71.4,-24,field_out
CH,ground_ball,14.929999999999993,13.880000000000024,58.1,-67,field_out
CU,line_drive,44.41000000000001,110.98,83.7,26,field_out
CU,line_drive,-34.8,102.42000000000002,87.3,22,single
CH,ground_ball,6.390000000000001,1.8400000000000034,33.6,35,single
FF,ground_ball,-0.23000000000000398,59.97,94.2,-2,field_out
FF,line_drive,-15.100000000000009,126.94000000000001,109.7,14,field_out
FF,fly_ball,46.82000000000001,176.24,115.2,21,home_run
FF,line_drive,56.05999999999999,83.41000000000001,95.4,17,single
CH,popup,-42.519999999999996,62.56,94.3,65,field_out
FF,fly_ball,51.709999999999994,161.92000000000002,106.3,29,home_run
SI,ground_ball,54.05999999999999,50.78,108,0,triple
SL,line_drive,72.83999999999999,106.14000000000001,106.7,22,field_out
FF,popup,-32.84,13.159999999999997,64.6,72,field_out
SL,ground_ball,17.179999999999993,40,78.6,-23,fielders_choice
FF,ground_ball,11.469999999999985,42.71000000000001,99.2,-4,field_out
SI,ground_ball,-1.1800000000000068,24.360000000000014,93.4,3,single
FF,fly_ball,-75.80000000000001,115.20000000000002,95.4,31,field_out
SL,ground_ball,16.779999999999987,53.23000000000002,88.8,-21,field_out
FF,fly_ball,-95.85,97.49000000000001,95.6,42,home_run
NA,ground_ball,4.739999999999995,118.92000000000002,NA,NA,single
NA,fly_ball,-70.98,124.98,NA,NA,field_out
NA,line_drive,-45.269999999999996,142.07,NA,NA,single
NA,line_drive,-12.790000000000006,123.25000000000001,NA,NA,single
NA,ground_ball,-42.730000000000004,70.88000000000001,NA,NA,single
NA,fly_ball,17.38000000000001,183.26000000000002,NA,NA,home_run
NA,line_drive,5.279999999999987,15.640000000000015,NA,NA,single
NA,ground_ball,22.83,27.75,NA,NA,force_out
NA,fly_ball,-88.64,159.03,NA,NA,home_run
NA,fly_ball,-93.71000000000001,130.13,NA,NA,home_run
NA,ground_ball,-22.730000000000004,44.46000000000001,NA,NA,single
NA,ground_ball,-81.53999999999999,72.85000000000001,NA,NA,single
NA,line_drive,-43.519999999999996,155.48000000000002,NA,NA,field_out
NA,line_drive,-47.42,96.88000000000001,NA,NA,single
NA,ground_ball,43.33,51.76000000000002,NA,NA,field_out
NA,ground_ball,4.459999999999994,40.04000000000002,NA,NA,field_out
NA,fly_ball,25.760000000000005,167.84,NA,NA,sac_fly
NA,line_drive,-42.2,102.41000000000001,NA,NA,single
NA,fly_ball,-2.960000000000008,185.39000000000001,NA,NA,home_run
NA,ground_ball,20.86999999999999,41.41,NA,NA,field_out
NA,popup,-23.239999999999995,33.81,NA,NA,field_out
NA,line_drive,-70.39,104.78000000000002,NA,NA,single
NA,ground_ball,68.01,102.76,NA,NA,single
