City.Code,City,Metro,County,State,Population.Rank,January.2017
38032,Costa Mesa,Los Angeles,Orange,CA,274,3025
23534,Athens,Athens,Clarke,GA,275,1126
5772,Manchester,Manchester,Hillsborough,NH,276,1536
41517,Vista,San Diego,San Diego,CA,277,2389
26791,Rochester,Rochester,Olmsted,MN,278,1353
7453,Tracy,Stockton,San Joaquin,CA,279,2115
34543,Ventura,Ventura,Ventura,CA,280,2472
6103,Murrieta,Riverside,Riverside,CA,281,2047
19903,Peoria,Peoria,Peoria,IL,282,864
37863,Chico,Chico,Butte,CA,283,1548
8097,Ann Arbor,Ann Arbor,Washtenaw,MI,284,1951
25659,Lowell,Boston,Middlesex,MA,285,2004
24822,Gainesville,Gainesville,Hall,GA,286,1233
44655,Clovis,Fresno,Fresno,CA,287,1528
3934,Cambridge,Boston,Middlesex,MA,288,2648
13943,Sparks,Reno,Washoe,NV,289,1456
13594,Roseville,Sacramento,Placer,CA,290,1982
53636,Norwalk,Los Angeles,Los Angeles,CA,291,2235
47322,Redding,Redding,Shasta,CA,292,1306
51861,El Monte,Los Angeles,Los Angeles,CA,293,2235
37965,College Station,College Station,Brazos,TX,294,1635
396054,Burbank,Los Angeles,Los Angeles,CA,295,3019
41641,West Jordan,Salt Lake City,Salt Lake,UT,296,1500
33024,Nampa,Boise City,Canyon,ID,297,1045
4626,Everett,Seattle,Snohomish,WA,298,1697
37596,Broken Arrow,Tulsa,Tulsa,OK,299,1263
20071,Provo,Provo,Utah,UT,300,1229
7191,Spartanburg,Spartanburg,Spartanburg,SC,301,982
50962,Bend,Bend,Deschutes,OR,302,1707
53787,Palm Bay,Melbourne,Brevard,FL,303,1229
14208,Tuscaloosa,Tuscaloosa,Tuscaloosa,AL,304,1159
51447,Clearwater,Tampa,Pinellas,FL,305,1406
27228,Springfield,Washington,Fairfax,VA,306,2370
21320,Wilmington,Wilmington,New Hanover,NC,307,1267
26575,Pompano Beach,Miami-Fort Lauderdale,Broward,FL,308,1595
4301,Davenport,Davenport,Scott,IA,309,1111
45732,Hesperia,Riverside,San Bernardino,CA,310,1288
31819,Grand Junction,Grand Junction,Mesa,CO,311,1190
13554,Rock Hill,Charlotte,York,SC,312,1113
41084,Stone Mountain,Atlanta,Dekalb,GA,313,1118
18073,Fargo,Fargo,Cass,ND,314,1364
11267,Edison,New York,Middlesex,NJ,315,2247
14542,West Covina,Los Angeles,Los Angeles,CA,316,2339
3975,Carlsbad,San Diego,San Diego,CA,317,3158
41446,Vacaville,Vallejo,Solano,CA,318,2001
17133,Bowling Green,Bowling Green,Warren,KY,319,1159
39420,Lewisville,Dallas-Fort Worth,Denton,TX,320,1696
30381,Beaverton,Portland,Washington,OR,321,1768
26900,Saint Augustine,Jacksonville,Saint Johns,FL,322,1550
7858,West Palm Beach,Miami-Fort Lauderdale,Palm Beach,FL,323,1599
10918,Columbia,Columbia,Boone,MO,324,1133
11335,Erie,Erie,Erie,PA,325,887
